DataSet/Point,Distance,Al,Si,K ,P ,Ca,Ti,Mn,Ba,Th,U ,Fe,O ,Total,Al,Si,K ,P ,Ca,Ti,Mn,Ba,Th,U ,Fe,O ,Total,Al2O3,SiO2,K2O,P2O5,CaO,TiO2,MnO,BaO,ThO2,UO2,FeO,Total,Al,Si,K ,P ,Ca,Ti,Mn,Ba,Th,U ,Fe,O , X , Y , Z , Beam X , Beam Y ,Comment,Distance (?),Mean Z,Point#,Date
1 / 48 . ,94,1.525227,32.51208,0.097661,0.012433,0.062297,0.00001,0.00001,0.00001,0.00001,0.00001,18.85409,43.86264,96.92647,1.315345,26.93609,0.058121,0.00934,0.036167,0.000005,0.000004,0.000002,0.000001,0.000001,7.855567,63.78936,99.99999,2.881907,69.5555,0.117643,0.02849,0.087166,0.000017,0.000013,0.000011,0.000011,0.000011,24.25571,96.92648,98,202,142,222,208,,,,,,799,,-16715.4,-22764.6,42, , ,H-24B-Profile1,94.04,13.19395,48,"Monday, April 17, 2023 6:23:13 PM"
1 / 49 . ,96,2.129997,30.76203,0.558831,0.037325,0.080481,0.002981,0.006766,0.011636,0.00001,0.00001,19.8422,42.82877,96.26103,1.868855,25.92963,0.338365,0.028528,0.047536,0.001473,0.002915,0.002006,0.000001,0.000001,8.411113,63.36957,99.99998,4.024615,65.81148,0.673174,0.085527,0.112609,0.004973,0.008736,0.012992,0.000011,0.000011,25.52691,96.26104,106,198,142,192,212,192,288,599,,,757,,-16713.4,-22764.4,42, , ,H-24B-Profile1,96.05,13.30561,49,"Monday, April 17, 2023 6:28:00 PM"
1 / 50 . ,98,1.69004,37.7933,0.380516,0.005443,0.067253,0.00001,0.00001,0.033571,0.00001,0.00001,8.344558,47.07032,95.38504,1.3884,29.82752,0.215724,0.003896,0.037193,0.000005,0.000004,0.005419,0.000001,0.000001,3.311982,65.20985,100,3.193319,80.854,0.458374,0.012473,0.0941,0.000017,0.000013,0.037483,0.000011,0.000011,10.73524,95.38504,90,215,134,225,198,,,568,,,684,,-16711.5,-22764.2,42, , ,H-24B-Profile1,98.05,11.55137,50,"Monday, April 17, 2023 6:32:48 PM"
1 / 51 . ,100,0.278066,13.2409,0.015442,0.010921,0.00001,0.009393,0.010475,0.00001,0.00001,0.033509,45.61826,28.43421,87.65121,0.334927,15.32163,0.012835,0.011459,0.000008,0.006373,0.006196,0.000002,0.000001,0.004575,26.54658,57.75541,100,0.525403,28.32723,0.018601,0.025025,0.000014,0.015668,0.013525,0.000011,0.000011,0.038013,58.68771,87.65121,81,136,149,213,,188,290,,,497,1058,,-16709.5,-22764,42, , ,H-24B-Profile1,100.05,16.06546,51,"Monday, April 17, 2023 6:37:38 PM"
1 / 52 . ,102,0.019895,0.045988,0.00796,0.00001,0.00001,0.00001,0.008354,0.00001,0.00001,0.045498,69.90472,20.10772,90.14019,0.02936,0.065201,0.008107,0.000013,0.00001,0.000008,0.006055,0.000003,0.000002,0.007611,49.84189,50.04174,100,0.037591,0.098386,0.009589,0.000023,0.000014,0.000017,0.010787,0.000011,0.000011,0.051615,89.93214,90.14019,109,100,159,,,,308,,,508,1257,,-16707.5,-22763.8,42, , ,H-24B-Profile1,102.05,19.83835,52,"Monday, April 17, 2023 6:42:27 PM"
1 / 53 . ,104,0.052756,0.016417,0.00001,0.022013,0.012423,0.00158,0.013807,0.00031,0.00001,0.056989,70.01282,20.17018,90.35931,0.077639,0.023211,0.00001,0.02822,0.012308,0.001309,0.009979,0.00009,0.000002,0.009507,49.78014,50.05758,100,0.099682,0.035122,0.000012,0.050441,0.017382,0.002635,0.017828,0.000346,0.000011,0.06465,90.0712,90.35931,117,103,,221,219,194,300,609,,509,1271,,-16705.5,-22763.6,42, , ,H-24B-Profile1,104.05,19.8883,53,"Monday, April 17, 2023 6:47:15 PM"
1 / 54 . ,106,0.11025,0.031112,0.001956,0.003813,0.005917,0.00001,0.004673,0.00001,0.022955,0.04471,69.38831,20.03122,89.64494,0.163424,0.044304,0.002,0.004924,0.005904,0.000008,0.003402,0.000003,0.003957,0.007512,49.69262,50.07194,100,0.208316,0.066559,0.002356,0.008738,0.008278,0.000017,0.006034,0.000011,0.026121,0.050721,89.26778,89.64493,116,101,157,237,219,,308,,466,511,1239,,-16703.5,-22763.4,42, , ,H-24B-Profile1,106.05,19.72724,54,"Monday, April 17, 2023 6:52:04 PM"
1 / 55 . ,108,0.049664,0.040908,0.004694,0.026627,0.00001,0.00001,0.00001,0.00001,0.00001,0.053834,70.1954,20.24408,90.61526,0.07285,0.057646,0.004751,0.034024,0.00001,0.000008,0.000007,0.000003,0.000002,0.008951,49.74591,50.07585,100,0.093841,0.087517,0.005654,0.061014,0.000014,0.000017,0.000013,0.000011,0.000011,0.061072,90.3061,90.61526,123,109,154,235,,,,,,497,1245,,-16701.5,-22763.2,42, , ,H-24B-Profile1,108.05,19.93695,55,"Monday, April 17, 2023 6:56:52 PM"
1 / 56 . ,110,0.05373,0.054286,0.007899,0.035374,0.013623,0.003163,0.012852,0.008692,0.004515,0.04846,68.15811,19.70341,88.10412,0.081012,0.078634,0.008219,0.046461,0.013828,0.002686,0.009517,0.002575,0.000792,0.008282,49.64975,50.09824,100,0.101522,0.116139,0.009515,0.081055,0.019062,0.005276,0.016594,0.009704,0.005138,0.054975,87.68513,88.10412,70,69,147,201,221,191,311,611,480,514,1272,,-16699.5,-22763,42, , ,H-24B-Profile1,110.05,19.37892,56,"Monday, April 17, 2023 7:01:40 PM"
1 / 57 . ,112,0.020591,0.030892,0.00602,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.033784,69.2726,19.90564,89.26959,0.03069,0.044233,0.006192,0.000013,0.00001,0.000008,0.000007,0.000003,0.000002,0.005708,49.88202,50.03111,100,0.038907,0.066089,0.007252,0.000023,0.000014,0.000017,0.000013,0.000011,0.000011,0.038326,89.11892,89.26958,96,87,155,,,,,,,514,1260,,-16697.5,-22762.8,42, , ,H-24B-Profile1,112.05,19.64258,57,"Monday, April 17, 2023 7:06:29 PM"
1 / 58 . ,114,0.012523,0.029502,0.00001,0.00001,0.00001,0.00001,0.005054,0.022008,0.003758,0.051441,69.29012,19.90759,89.32204,0.018664,0.042238,0.00001,0.000013,0.00001,0.000008,0.003699,0.006444,0.000651,0.00869,49.88911,50.03047,100,0.023663,0.063116,0.000012,0.000023,0.000014,0.000017,0.006526,0.024572,0.004277,0.058356,89.14146,89.32204,108,97,,,,,303,598,472,511,1261,,-16695.5,-22762.6,42, , ,H-24B-Profile1,114.05,19.6781,58,"Monday, April 17, 2023 7:11:17 PM"
1 / 59 . ,116,0.043282,0.038144,0.009376,0.00001,0.00001,0.00001,0.00014,0.00001,0.00001,0.042875,69.79195,20.08482,90.01063,0.063951,0.054143,0.009561,0.000013,0.00001,0.000008,0.000101,0.000003,0.000002,0.007181,49.82075,50.04427,99.99999,0.081781,0.081603,0.011295,0.000023,0.000014,0.000017,0.00018,0.000011,0.000011,0.04864,89.78706,90.01063,111,102,154,,,,304,,,507,1239,,-16693.5,-22762.4,42, , ,H-24B-Profile1,116.05,19.80494,59,"Monday, April 17, 2023 7:16:07 PM"
1 / 60 . ,118,0.051399,0.371821,0.001644,0.01572,0.00001,0.004984,0.00001,0.00001,0.00001,0.034543,68.47215,20.11497,89.06727,0.076224,0.529725,0.001683,0.020307,0.00001,0.004163,0.000007,0.000003,0.000002,0.005807,49.05836,50.30371,100,0.097119,0.795464,0.00198,0.03602,0.000014,0.008314,0.000013,0.000011,0.000011,0.039187,88.08914,89.06728,108,100,157,210,,185,,,,502,1272,,-16691.5,-22762.2,42, , ,H-24B-Profile1,118.05,19.50626,60,"Monday, April 17, 2023 7:20:56 PM"
1 / 61 . ,120,0.069748,0.118428,0.007361,0.005015,0.000421,0.00001,0.01888,0.028602,0.00001,0.057293,68.66664,19.89438,88.86679,0.104198,0.169965,0.007589,0.006526,0.000423,0.000008,0.013852,0.008395,0.000002,0.009702,49.56045,50.11888,99.99999,0.131789,0.253361,0.008867,0.011491,0.000589,0.000017,0.024378,0.031935,0.000011,0.064996,88.33936,88.86679,100,91,154,242,230,,287,595,,501,1263,,-16689.5,-22762,42, , ,H-24B-Profile1,120.06,19.54622,61,"Monday, April 17, 2023 7:25:45 PM"
1 / 62 . ,122,0.099225,0.136418,0.00978,0.008792,0.00049,0.00001,0.00001,0.00001,0.00001,0.047583,68.28808,19.82791,88.41832,0.148809,0.196545,0.010122,0.011486,0.000495,0.000008,0.000007,0.000003,0.000002,0.008089,49.47882,50.14561,100,0.187485,0.291848,0.011781,0.020147,0.000686,0.000017,0.000013,0.000011,0.000011,0.05398,87.85234,88.41832,102,93,153,230,235,,,,,500,1220,,-16687.6,-22761.8,42, , ,H-24B-Profile1,122.06,19.4202,62,"Monday, April 17, 2023 7:30:31 PM"
1 / 63 . ,124,0.132158,0.081449,0.003445,0.011355,0.008371,0.00001,0.00001,0.036682,0.00001,0.045473,69.13528,20.04644,89.50068,0.195941,0.116012,0.003525,0.014665,0.008355,0.000008,0.000007,0.010685,0.000002,0.007642,49.52222,50.12093,100,0.249711,0.174249,0.00415,0.026018,0.011712,0.000017,0.000013,0.040956,0.000011,0.051586,88.94225,89.50068,109,100,154,224,224,,,596,,511,1243,,-16685.6,-22761.6,42, , ,H-24B-Profile1,124.06,19.67389,63,"Monday, April 17, 2023 7:35:20 PM"
1 / 64 . ,126,0.157165,0.071574,0.000314,0.013766,0.00001,0.00001,0.00001,0.00001,0.0066,0.051267,69.0545,20.03084,89.38608,0.23323,0.102039,0.000321,0.017795,0.00001,0.000008,0.000007,0.000003,0.001139,0.008624,49.50934,50.12748,100,0.296963,0.153123,0.000378,0.031543,0.000014,0.000017,0.000013,0.000011,0.007511,0.05816,88.83834,89.38607,113,101,157,227,,,,,468,506,1245,,-16683.6,-22761.4,42, , ,H-24B-Profile1,126.06,19.64233,64,"Monday, April 17, 2023 7:40:07 PM"
1 / 65 . ,128,0.076924,0.050703,0.001491,0.009435,0.000842,0.00001,0.004994,0.00001,0.00001,0.054548,67.79069,19.56957,87.55922,0.116733,0.073919,0.001562,0.012473,0.00086,0.000009,0.003722,0.000003,0.000002,0.009383,49.70153,50.0798,100,0.145347,0.108473,0.001796,0.02162,0.001178,0.000017,0.006448,0.000011,0.000011,0.061882,87.21244,87.55923,90,84,159,234,220,,301,,,484,1230,,-16681.6,-22761.2,42, , ,H-24B-Profile1,128.06,19.26156,65,"Monday, April 17, 2023 7:44:56 PM"
1 / 66 . ,130,0.137585,0.070446,0.00001,0.019465,0.00001,0.00001,0.00001,0.011554,0.00001,0.05971,69.46284,20.13799,89.89965,0.203075,0.099891,0.00001,0.025028,0.00001,0.000008,0.000007,0.003351,0.000002,0.00999,49.53415,50.12448,100,0.259967,0.15071,0.000012,0.044603,0.000014,0.000017,0.000013,0.0129,0.000011,0.067737,89.36366,89.89965,113,99,,235,,,,597,,505,1256,,-16679.6,-22761,42, , ,H-24B-Profile1,130.06,19.76347,66,"Monday, April 17, 2023 7:49:44 PM"
1 / 67 . ,132,0.092722,0.048045,0.00692,0.00001,0.00001,0.00001,0.00001,0.002184,0.000567,0.043147,69.44646,20.04092,89.68101,0.137372,0.068383,0.007075,0.000013,0.00001,0.000008,0.000007,0.000636,0.000098,0.007246,49.70869,50.07046,100,0.175198,0.102787,0.008336,0.000023,0.000014,0.000017,0.000013,0.002438,0.000646,0.048947,89.34259,89.68101,121,105,154,,,,,603,453,485,1234,,-16677.6,-22760.8,42, , ,H-24B-Profile1,132.06,19.72088,67,"Monday, April 17, 2023 7:54:32 PM"
1 / 68 . ,134,0.053767,0.065351,0.001495,0.013851,0.00001,0.013145,0.000754,0.00001,0.017985,0.063522,68.9664,19.9191,89.11539,0.080181,0.093624,0.001539,0.017994,0.00001,0.011042,0.000553,0.000003,0.003119,0.010738,49.68879,50.09241,100,0.101592,0.139809,0.001801,0.031739,0.000014,0.021926,0.000974,0.000011,0.020465,0.072062,88.72499,89.11539,124,108,156,238,,182,308,,442,479,1240,,-16675.6,-22760.6,42, , ,H-24B-Profile1,134.06,19.62101,68,"Monday, April 17, 2023 7:59:21 PM"
1 / 69 . ,136,0.058807,0.131329,0.00001,0.00527,0.00001,0.00001,0.002151,0.007815,0.005492,0.066607,68.85555,19.94685,89.0799,0.087636,0.188017,0.00001,0.006842,0.00001,0.000008,0.001574,0.002288,0.000952,0.011251,49.57426,50.12715,100,0.111116,0.280963,0.000012,0.012076,0.000014,0.000017,0.002777,0.008725,0.006249,0.075561,88.58239,89.0799,125,106,,234,,,306,528,349,390,1261,,-16673.6,-22760.4,42, , ,H-24B-Profile1,136.06,19.59615,69,"Monday, April 17, 2023 8:04:08 PM"
1 / 70 . ,138,0.035313,0.072082,0.00001,0.006957,0.00001,0.002891,0.001452,0.00001,0.00001,0.075745,70.86609,20.43792,91.49849,0.051309,0.100615,0.00001,0.008806,0.00001,0.002366,0.001036,0.000003,0.000002,0.012475,49.74621,50.07716,100,0.066725,0.154209,0.000012,0.015942,0.000014,0.004822,0.001874,0.000011,0.000011,0.085928,91.16894,91.49849,109,99,,163,,187,311,,,461,1241,,-16671.6,-22760.2,42, , ,H-24B-Profile1,138.06,20.14664,70,"Monday, April 17, 2023 8:08:55 PM"
1 / 71 . ,140,0.032394,0.63383,0.001413,0.00001,0.00001,0.000988,0.00001,0.009359,0.008121,0.041648,70.05139,20.8292,91.60838,0.04653,0.874629,0.001401,0.000013,0.00001,0.000799,0.000007,0.002641,0.001356,0.006781,48.61277,50.45307,100,0.061209,1.355998,0.001703,0.000023,0.000014,0.001648,0.000013,0.01045,0.009241,0.047248,90.12083,91.60838,109,102,152,,,196,,619,460,509,1237,,-16669.6,-22760,42, , ,H-24B-Profile1,140.06,20.024,71,"Monday, April 17, 2023 8:13:44 PM"
1 / 72 . ,142,0.057967,0.871536,0.00001,0.009524,0.00471,0.008025,0.001285,0.025028,0.00001,0.068153,65.7139,19.90333,86.66347,0.087514,1.264062,0.00001,0.012526,0.004787,0.006825,0.000953,0.007424,0.000002,0.011663,47.93169,50.67254,100,0.109528,1.864541,0.000012,0.021824,0.00659,0.013387,0.001659,0.027944,0.000011,0.077315,84.54066,86.66348,120,108,,240,194,171,296,556,,446,1222,,-16667.6,-22759.8,42, , ,H-24B-Profile1,142.07,18.88861,72,"Monday, April 17, 2023 8:18:31 PM"
1 / 73 . ,144,0.068888,0.11602,0.004714,0.015123,0.00379,0.00001,0.0028,0.000624,0.00001,0.069681,62.49725,18.13095,80.90986,0.112971,0.182786,0.005334,0.021604,0.004184,0.000009,0.002255,0.000201,0.000002,0.012953,49.51671,50.141,100,0.130163,0.248211,0.005678,0.034653,0.005303,0.000017,0.003615,0.000696,0.000011,0.079049,80.40246,80.90985,117,102,161,244,167,,282,510,,316,1175,,-16665.7,-22759.6,42, , ,H-24B-Profile1,144.07,17.79405,73,"Monday, April 17, 2023 8:23:20 PM"
1 / 74 . ,146,0.089002,0.078882,0.000392,0.009657,0.00001,0.004528,0.00001,0.014956,0.009055,0.091991,57.95942,16.80512,75.06303,0.157438,0.13405,0.000479,0.01488,0.000012,0.004512,0.000009,0.005198,0.001862,0.018446,49.53328,50.12984,100,0.16817,0.168757,0.000472,0.022128,0.000014,0.007553,0.000013,0.016699,0.010303,0.104359,74.56456,75.06303,117,103,158,246,,145,,502,231,245,1097,,-16663.7,-22759.4,42, , ,H-24B-Profile1,146.07,16.54015,74,"Monday, April 17, 2023 8:28:08 PM"
1 / 75 . ,148,0.098717,0.0528,0.003456,0.002758,0.00001,0.00001,0.00536,0.009043,0.00001,0.071999,61.7361,17.85168,79.83195,0.16426,0.084403,0.003968,0.003998,0.000011,0.000009,0.004381,0.002956,0.000002,0.01358,49.63037,50.09206,100,0.186524,0.112958,0.004163,0.00632,0.000014,0.000017,0.006922,0.010097,0.000011,0.081678,79.42324,79.83195,116,104,158,239,,,272,614,,304,1178,,-16661.7,-22759.2,42, , ,H-24B-Profile1,148.07,17.57347,75,"Monday, April 17, 2023 8:32:56 PM"
1 / 76 . ,150,0.106939,0.12535,0.003147,0.00001,0.00001,0.007728,0.00001,0.00001,0.009081,0.065643,66.65067,19.34899,86.3176,0.164338,0.185059,0.003337,0.000013,0.00001,0.006689,0.000008,0.000003,0.001623,0.011435,49.48483,50.14266,100,0.202061,0.268171,0.00379,0.000023,0.000014,0.01289,0.000013,0.000011,0.010334,0.074468,85.74582,86.3176,118,102,153,,,169,,,376,414,1180,,-16659.7,-22759,42, , ,H-24B-Profile1,150.07,18.97942,76,"Monday, April 17, 2023 8:37:46 PM"
1 / 77 . ,152,0.166538,0.158216,0.000316,0.026489,0.00646,0.00001,0.00001,0.00001,0.00001,0.071951,69.11285,20.17549,89.71835,0.245747,0.22429,0.000321,0.03405,0.006418,0.000008,0.000007,0.000003,0.000002,0.012035,49.27206,50.20506,100,0.314672,0.338483,0.00038,0.060697,0.009039,0.000017,0.000013,0.000011,0.000011,0.081624,88.9134,89.71835,114,102,152,214,226,,,,,457,1224,,-16657.7,-22758.8,42, , ,H-24B-Profile1,152.07,19.69872,77,"Monday, April 17, 2023 8:42:36 PM"
1 / 78 . ,154,0.134312,0.12157,0.006392,0.019885,0.00174,0.003923,0.001638,0.006265,0.00001,0.051419,70.68112,20.54626,91.57454,0.194428,0.169065,0.006385,0.025076,0.001695,0.003199,0.001164,0.001782,0.000002,0.008437,49.4326,50.15617,100,0.253782,0.260084,0.0077,0.045566,0.002434,0.006544,0.002115,0.006995,0.000011,0.058332,90.93098,91.57454,108,96,151,190,229,190,311,613,,504,1240,,-16655.7,-22758.6,42, , ,H-24B-Profile1,154.07,20.11191,78,"Monday, April 17, 2023 8:47:24 PM"
1 / 79 . ,156,0.117455,0.092726,0.005133,0.010081,0.00001,0.00479,0.001863,0.015358,0.00001,0.038999,70.82611,20.52637,91.63891,0.170069,0.128985,0.005129,0.012716,0.00001,0.003907,0.001325,0.004369,0.000002,0.006401,49.54667,50.12041,99.99999,0.22193,0.198375,0.006183,0.0231,0.000014,0.00799,0.002405,0.017147,0.000011,0.044242,91.11751,91.63891,115,101,153,222,,196,304,607,,520,1258,,-16653.7,-22758.4,42, , ,H-24B-Profile1,156.07,20.13365,79,"Monday, April 17, 2023 8:52:12 PM"
1 / 80 . ,158,0.092774,0.08349,0.00245,0.01071,0.00001,0.006157,0.004652,0.000314,0.00001,0.052588,70.21475,20.3208,90.7887,0.135661,0.117286,0.002473,0.013643,0.00001,0.005072,0.003341,0.00009,0.000002,0.008717,49.60464,50.10907,100,0.175296,0.178617,0.002952,0.024541,0.000014,0.01027,0.006007,0.00035,0.000011,0.059658,90.33099,90.7887,115,102,155,217,,192,313,611,,520,1265,,-16651.7,-22758.2,42, , ,H-24B-Profile1,158.07,19.9584,80,"Monday, April 17, 2023 8:57:00 PM"
1 / 81 . ,160,0.080742,0.104427,0.006087,0.01473,0.00001,0.00001,0.004008,0.00001,0.01236,0.032352,69.31325,20.07627,89.64426,0.119533,0.14852,0.006219,0.018996,0.00001,0.000008,0.002914,0.000003,0.002128,0.005429,49.57562,50.12062,100,0.152562,0.223409,0.007333,0.033752,0.000014,0.000017,0.005176,0.000011,0.014065,0.036702,89.17121,89.64426,114,99,149,204,,,306,,470,513,1273,,-16649.7,-22758,42, , ,H-24B-Profile1,160.08,19.69793,81,"Monday, April 17, 2023 9:01:48 PM"
1 / 82 . ,162,0.070135,0.031196,0.007429,0.011231,0.00001,0.000636,0.005981,0.00001,0.00001,0.045354,70.29652,20.26189,90.73042,0.102755,0.043909,0.007511,0.014334,0.00001,0.000525,0.004304,0.000003,0.000002,0.007532,49.75857,50.06055,100,0.13252,0.06674,0.008949,0.025736,0.000014,0.001062,0.007723,0.000011,0.000011,0.051451,90.4362,90.73041,118,103,152,206,,193,303,,,524,1280,,-16647.7,-22757.8,42, , ,H-24B-Profile1,162.08,19.95801,82,"Monday, April 17, 2023 9:06:36 PM"
1 / 83 . ,164,0.105116,0.031304,0.003558,0.007546,0.000637,0.009929,0.004794,0.00001,0.005706,0.045198,70.47255,20.34489,91.03123,0.153422,0.043894,0.003584,0.009595,0.000625,0.008163,0.003436,0.000003,0.000968,0.007478,49.69392,50.07491,100,0.198617,0.066971,0.004286,0.017292,0.000891,0.016562,0.00619,0.000011,0.006493,0.051274,90.66265,91.03124,113,101,152,199,220,191,308,,485,525,1311,,-16645.8,-22757.6,42, , ,H-24B-Profile1,164.08,20.02054,83,"Monday, April 17, 2023 9:11:25 PM"
1 / 84 . ,166,0.099809,0.031841,0.00001,0.00001,0.00001,0.000013,0.012283,0.014109,0.00001,0.031079,70.29128,20.27265,90.75311,0.146155,0.044793,0.00001,0.000013,0.00001,0.00001,0.008834,0.004059,0.000002,0.005159,49.72942,50.06153,100,0.188588,0.068119,0.000012,0.000023,0.000014,0.000021,0.015861,0.015753,0.000011,0.035257,90.42945,90.75311,112,100,,,,198,306,609,,526,1279,,-16643.8,-22757.4,42, , ,H-24B-Profile1,166.08,19.95456,84,"Monday, April 17, 2023 9:16:15 PM"
1 / 85 . ,168,0.079142,0.030441,0.000553,0.008842,0.00001,0.00001,0.007572,0.005326,0.00001,0.038098,70.47121,20.31429,90.95551,0.115655,0.042737,0.000557,0.011256,0.00001,0.000008,0.005434,0.001529,0.000002,0.006311,49.75476,50.06174,100,0.149539,0.065125,0.000666,0.020261,0.000014,0.000017,0.009777,0.005947,0.000011,0.04322,90.66093,90.95551,115,101,153,223,,,307,614,,521,1266,,-16641.8,-22757.2,42, , ,H-24B-Profile1,168.08,20.00358,85,"Monday, April 17, 2023 9:21:02 PM"
1 / 86 . ,170,0.127762,0.056493,0.00001,0.00001,0.00001,0.00001,0.002652,0.00001,0.00001,0.033655,69.62715,20.13123,89.979,0.18851,0.080077,0.00001,0.000013,0.00001,0.000008,0.001922,0.000003,0.000002,0.005629,49.63382,50.09,100,0.241406,0.120859,0.000012,0.000023,0.000014,0.000017,0.003424,0.000011,0.000011,0.038179,89.57504,89.979,114,101,,,,,306,,,520,1247,,-16639.8,-22757,42, , ,H-24B-Profile1,170.08,19.76972,86,"Monday, April 17, 2023 9:25:50 PM"
1 / 87 . ,172,0.141978,0.064563,0.009762,0.00001,0.00001,0.007097,0.000212,0.00001,0.018134,0.028123,67.5667,19.57054,87.40713,0.215554,0.094167,0.010227,0.000013,0.00001,0.006069,0.000158,0.000003,0.003201,0.00484,49.56028,50.10548,99.99999,0.268267,0.138124,0.011759,0.000023,0.000014,0.011838,0.000274,0.000011,0.020635,0.031903,86.92429,87.40713,125,107,153,,,179,305,,426,485,1225,,-16637.8,-22756.8,42, , ,H-24B-Profile1,172.08,19.20615,87,"Monday, April 17, 2023 9:30:38 PM"
1 / 88 . ,174,0.059191,0.049012,0.00001,0.00491,0.00001,0.00001,0.003301,0.019179,0.00001,0.088021,72.30582,20.8452,93.37468,0.084303,0.067063,0.00001,0.006091,0.00001,0.000008,0.002309,0.005367,0.000002,0.014211,49.75434,50.06629,100,0.11184,0.104856,0.000012,0.01125,0.000014,0.000017,0.004263,0.021414,0.000011,0.099855,93.02115,93.37468,116,105,,220,,,320,463,,393,1241,,-16635.8,-22756.6,42, , ,H-24B-Profile1,174.08,20.57498,88,"Monday, April 17, 2023 9:35:27 PM"
1 / 89 . ,176,0.038709,0.030841,0.00001,0.001801,0.004508,0.009851,0.00001,0.002516,0.00001,0.056186,70.97903,20.42334,91.54682,0.056249,0.043054,0.00001,0.00228,0.00441,0.008063,0.000007,0.000718,0.000002,0.009255,49.82999,50.04596,100,0.073141,0.065981,0.000012,0.004127,0.006307,0.016432,0.000013,0.002809,0.000011,0.06374,91.31425,91.54682,115,102,,215,192,191,,576,,518,1258,,-16633.8,-22756.4,42, , ,H-24B-Profile1,176.08,20.15422,89,"Monday, April 17, 2023 9:40:16 PM"
1 / 90 . ,178,0.059932,0.027672,0.002064,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.04266,69.59167,20.02876,89.75281,0.088801,0.03939,0.002111,0.000013,0.00001,0.000008,0.000007,0.000003,0.000002,0.007165,49.81753,50.04496,100,0.113242,0.059202,0.002487,0.000023,0.000014,0.000017,0.000013,0.000011,0.000011,0.048395,89.5294,89.75281,119,104,157,,,,,,,516,1222,,-16631.8,-22756.2,42, , ,H-24B-Profile1,178.08,19.74746,90,"Monday, April 17, 2023 9:45:03 PM"
1 / 91 . ,180,0.093426,0.050856,0.00001,0.009893,0.00001,0.004704,0.00001,0.010104,0.00001,0.068572,67.9967,19.64815,87.88244,0.141236,0.07386,0.00001,0.013029,0.00001,0.004006,0.000007,0.003001,0.000002,0.011751,49.6632,50.08988,100,0.176527,0.108801,0.000012,0.02267,0.000014,0.007847,0.000013,0.011281,0.000011,0.077791,87.47748,87.88244,118,104,,211,,182,,558,,432,1251,,-16629.8,-22756,42, , ,H-24B-Profile1,180.08,19.34154,91,"Monday, April 17, 2023 9:49:52 PM"
1 / 92 . ,182,0.081612,0.071322,0.004059,0.003715,0.00001,0.00001,0.00001,0.001579,0.015697,0.045307,71.09702,20.53694,91.85728,0.11803,0.099093,0.004051,0.004681,0.00001,0.000008,0.000007,0.000449,0.00264,0.007427,49.67702,50.08659,100,0.154206,0.152584,0.004889,0.008514,0.000014,0.000017,0.000013,0.001763,0.017862,0.051398,91.46602,91.85728,119,103,150,220,,,,599,477,514,1266,,-16627.8,-22755.8,42, , ,H-24B-Profile1,182.08,20.2068,92,"Monday, April 17, 2023 9:54:41 PM"
1 / 93 . ,184,0.068899,0.04356,0.006769,0.009147,0.00001,0.00001,0.014594,0.007268,0.00001,0.04807,71.35096,20.57745,92.12675,0.099406,0.060377,0.00674,0.011496,0.00001,0.000008,0.010341,0.00206,0.000002,0.007862,49.73579,50.06592,100,0.130184,0.093191,0.008154,0.020959,0.000014,0.000017,0.018844,0.008115,0.000011,0.054532,91.79272,92.12675,113,101,147,204,,,301,621,,513,1285,,-16625.8,-22755.6,42, , ,H-24B-Profile1,184.09,20.26712,93,"Monday, April 17, 2023 9:59:30 PM"
1 / 94 . ,186,0.067379,0.045651,0.00001,0.004475,0.00001,0.00001,0.00001,0.006002,0.00001,0.023489,71.00587,20.46449,91.61741,0.097743,0.06362,0.00001,0.005655,0.00001,0.000008,0.000007,0.001711,0.000002,0.003862,49.76495,50.06242,100,0.127312,0.097664,0.000012,0.010255,0.000014,0.000017,0.000013,0.006702,0.000011,0.026647,91.34876,91.61741,113,101,,208,,,,615,,524,1304,,-16623.9,-22755.4,42, , ,H-24B-Profile1,186.09,20.1395,94,"Monday, April 17, 2023 10:04:19 PM"
1 / 95 . ,188,0.041702,0.026273,0.00001,0.005459,0.00001,0.00001,0.00721,0.016744,0.00001,0.075351,70.82119,20.37826,91.37223,0.06073,0.036757,0.00001,0.006926,0.00001,0.000008,0.005157,0.004791,0.000002,0.012439,49.82819,50.04498,100,0.078796,0.056208,0.000012,0.01251,0.000014,0.000017,0.00931,0.018694,0.000011,0.085481,91.11118,91.37223,111,99,,204,,,307,607,,514,1294,,-16621.9,-22755.2,42, , ,H-24B-Profile1,188.09,20.1342,95,"Monday, April 17, 2023 10:09:10 PM"
1 / 96 . ,190,0.050511,0.029041,0.00001,0.00375,0.00001,0.00001,0.00001,0.016432,0.00001,0.073367,70.24445,20.21941,90.637,0.074142,0.040951,0.00001,0.004795,0.00001,0.000008,0.000007,0.004739,0.000002,0.012207,49.81441,50.04871,100,0.095441,0.062129,0.000012,0.008593,0.000014,0.000017,0.000013,0.018347,0.000011,0.083231,90.3692,90.63701,112,101,,202,,,,607,,516,1287,,-16619.9,-22755,42, , ,H-24B-Profile1,190.09,19.96902,96,"Monday, April 17, 2023 10:13:58 PM"
