DataSet/Point,Distance,Al,Si,K ,P ,Ca,Ti,Mn,Ba,Th,U ,Fe,O ,Total,Al,Si,K ,P ,Ca,Ti,Mn,Ba,Th,U ,Fe,O ,Total,Al2O3,SiO2,K2O,P2O5,CaO,TiO2,MnO,BaO,ThO2,UO2,FeO,Total,Al,Si,K ,P ,Ca,Ti,Mn,Ba,Th,U ,Fe,O , X , Y , Z , Beam X , Beam Y ,Comment,Distance (?),Mean Z,Point#,Date
1 / 11 . ,20,0.125047,0.023866,0.00001,0.012636,0.00001,0.008808,0.001061,0.00001,0.00001,0.078701,68.99792,19.93914,89.18723,0.186267,0.034152,0.00001,0.016396,0.00001,0.007391,0.000776,0.000003,0.000002,0.013289,49.65543,50.08627,100,0.236275,0.051058,0.000012,0.028953,0.000014,0.014693,0.00137,0.000011,0.000011,0.089281,88.76555,89.18723,103,95,,225,,186,302,,,492,1249,,-16789.1,-22772,42, , ,H-24B-Profile1,20.01,19.63071,11,"Monday, April 17, 2023 3:25:23 PM"
1 / 12 . ,22,0.12186,0.038099,0.00001,0.001489,0.00001,0.00001,0.00001,0.00001,0.001844,0.062931,68.48777,19.78392,88.49796,0.182923,0.054942,0.00001,0.001947,0.00001,0.000008,0.000007,0.000003,0.000322,0.010708,49.66895,50.08017,100,0.230254,0.081508,0.000012,0.003411,0.000014,0.000017,0.000013,0.000011,0.002098,0.071391,88.10924,88.49796,109,96,,244,,,,,452,484,1247,,-16787.1,-22771.8,42, , ,H-24B-Profile1,22.01,19.4705,12,"Monday, April 17, 2023 3:30:11 PM"
1 / 13 . ,24,0.121263,0.051225,0.00001,0.000127,0.00001,0.00001,0.000967,0.014324,0.00001,0.05758,69.5889,20.11304,89.94746,0.179069,0.072671,0.00001,0.000163,0.00001,0.000008,0.000702,0.004156,0.000002,0.009638,49.64753,50.08604,100,0.229126,0.10959,0.000012,0.000291,0.000014,0.000017,0.001249,0.015993,0.000011,0.065321,89.52583,89.94746,122,104,,199,,,301,591,,458,1215,,-16785.1,-22771.6,42, , ,H-24B-Profile1,24.01,19.78636,13,"Monday, April 17, 2023 3:34:59 PM"
1 / 14 . ,26,0.120579,0.031799,0.003998,0.00343,0.007462,0.00001,0.00001,0.003966,0.00001,0.044646,69.62982,20.10685,89.95258,0.178067,0.045114,0.004074,0.004413,0.007419,0.000008,0.000007,0.001151,0.000002,0.007474,49.67917,50.0731,100,0.227833,0.06803,0.004816,0.00786,0.010441,0.000017,0.000013,0.004428,0.000011,0.050648,89.57848,89.95258,118,103,137,169,211,,,597,,505,1251,,-16783.1,-22771.4,42, , ,H-24B-Profile1,26.01,19.7785,14,"Monday, April 17, 2023 3:39:48 PM"
1 / 15 . ,28,0.082337,0.038478,0.00001,0.008425,0.00001,0.001983,0.00001,0.00001,0.008329,0.058589,69.56321,20.06789,89.82928,0.121827,0.054695,0.00001,0.010859,0.00001,0.001653,0.000007,0.000003,0.001433,0.009826,49.72728,50.0724,99.99999,0.155576,0.082319,0.000012,0.019304,0.000014,0.003308,0.000013,0.000011,0.009478,0.066465,89.49278,89.82928,111,100,,186,,191,,,468,502,1212,,-16781.1,-22771.2,42, , ,H-24B-Profile1,28.01,19.77107,15,"Monday, April 17, 2023 3:44:36 PM"
1 / 16 . ,30,0.141805,0.029346,0.00001,0.004552,0.00001,0.006158,0.00001,0.00001,0.017238,0.04105,67.49851,19.51552,87.25423,0.215821,0.042907,0.000011,0.006036,0.00001,0.005279,0.000007,0.000003,0.003051,0.007082,49.63215,50.08764,100,0.26794,0.062781,0.000012,0.010431,0.000014,0.010272,0.000013,0.000011,0.019615,0.046569,86.83656,87.25422,114,101,,217,,191,,,465,504,1236,,-16779.1,-22771,42, , ,H-24B-Profile1,30.01,19.18873,16,"Monday, April 17, 2023 3:49:23 PM"
1 / 17 . ,32,0.129394,0.023439,0.002237,0.013636,0.008957,0.00001,0.00001,0.00001,0.030609,0.036325,68.8559,19.8995,89.00002,0.193115,0.033607,0.002304,0.017728,0.008999,0.000008,0.000007,0.000003,0.005312,0.006145,49.64924,50.08353,100,0.244488,0.050145,0.002694,0.031245,0.012532,0.000017,0.000013,0.000011,0.034831,0.041208,88.58284,89.00003,113,100,150,198,209,,,,462,505,1240,,-16777.1,-22770.8,42, , ,H-24B-Profile1,32.02,19.57984,17,"Monday, April 17, 2023 3:54:12 PM"
1 / 18 . ,34,0.141457,0.025439,0.002621,0.003153,0.00001,0.0048,0.016082,0.00001,0.00001,0.028203,68.72962,19.86187,88.81327,0.211497,0.036539,0.002705,0.004107,0.00001,0.004042,0.011809,0.000003,0.000002,0.00478,49.64655,50.07796,99.99999,0.267282,0.054423,0.003158,0.007226,0.000014,0.008006,0.020766,0.000011,0.000011,0.031995,88.42038,88.81327,115,100,147,210,,185,293,,,511,1267,,-16775.2,-22770.6,42, , ,H-24B-Profile1,34.02,19.51261,18,"Monday, April 17, 2023 3:59:00 PM"
1 / 19 . ,36,0.12454,0.027028,0.000617,0.00001,0.00001,0.002667,0.006168,0.024806,0.00001,0.080069,68.66094,19.83003,88.7569,0.186487,0.038882,0.000638,0.000013,0.00001,0.002249,0.004536,0.007298,0.000002,0.013591,49.67246,50.07383,100,0.235318,0.057824,0.000743,0.000023,0.000014,0.004448,0.007964,0.027696,0.000011,0.090833,88.33202,88.7569,114,102,150,,,185,298,578,,498,1223,,-16773.2,-22770.4,42, , ,H-24B-Profile1,36.02,19.54803,19,"Monday, April 17, 2023 4:03:47 PM"
1 / 20 . ,38,0.199578,0.045137,0.00001,0.0103,0.00001,0.001909,0.009536,0.004901,0.007984,0.02647,68.33607,19.82955,88.47145,0.299139,0.064994,0.00001,0.013448,0.00001,0.001612,0.007019,0.001443,0.001391,0.004497,49.48532,50.12112,100,0.377102,0.096564,0.000012,0.023602,0.000014,0.003184,0.012313,0.005472,0.009085,0.030028,87.91408,88.47145,118,103,,233,,190,294,575,469,499,1244,,-16771.2,-22770.2,42, , ,H-24B-Profile1,38.02,19.42464,20,"Monday, April 17, 2023 4:08:36 PM"
1 / 21 . ,40,0.084613,0.097857,0.004624,0.010442,0.00001,0.004644,0.00001,0.00001,0.00001,0.062549,70.50266,20.41144,91.17886,0.123193,0.136874,0.004646,0.013244,0.00001,0.003809,0.000007,0.000003,0.000002,0.010323,49.59282,50.11507,100,0.159876,0.209352,0.00557,0.023927,0.000014,0.007747,0.000013,0.000011,0.000011,0.070958,90.70139,91.17886,97,86,134,185,,193,,,,501,1243,,-16769.2,-22770,42, , ,H-24B-Profile1,40.02,20.04934,21,"Monday, April 17, 2023 4:13:24 PM"
1 / 22 . ,42,0.109514,0.082166,0.002158,0.013975,0.004062,0.00001,0.00001,0.011929,0.00001,0.044398,68.40781,19.81707,88.49312,0.164236,0.11838,0.002233,0.018257,0.004101,0.000008,0.000007,0.003515,0.000002,0.007547,49.56455,50.11716,99.99999,0.206925,0.175784,0.002599,0.032024,0.005683,0.000017,0.000013,0.013318,0.000011,0.050366,88.00637,88.49312,100,92,142,196,212,,,592,,500,1265,,-16767.2,-22769.8,42, , ,H-24B-Profile1,42.02,19.44799,22,"Monday, April 17, 2023 4:18:12 PM"
1 / 23 . ,44,0.066757,0.045304,0.002465,0.013591,0.00001,0.001552,0.00001,0.026603,0.004818,0.063766,68.95171,19.89682,89.07341,0.099632,0.064957,0.002539,0.017669,0.00001,0.001304,0.000007,0.007801,0.000836,0.010788,49.71799,50.07647,100,0.126137,0.096923,0.00297,0.031141,0.000014,0.002588,0.000013,0.029702,0.005483,0.072338,88.70609,89.0734,83,76,139,175,,189,,580,472,505,1205,,-16765.2,-22769.6,42, , ,H-24B-Profile1,44.02,19.61496,23,"Monday, April 17, 2023 4:23:03 PM"
1 / 24 . ,46,0.04384,0.061229,0.002931,0.02023,0.00001,0.00001,0.013888,0.005509,0.00001,0.069474,68.37176,19.73775,88.32664,0.065969,0.088514,0.003043,0.026518,0.00001,0.000008,0.010263,0.001629,0.000002,0.01185,49.70638,50.08581,100,0.082836,0.130993,0.00353,0.046356,0.000014,0.000017,0.017932,0.006151,0.000011,0.078813,87.95998,88.32664,101,93,154,219,,,291,602,,504,1253,,-16763.2,-22769.4,42, , ,H-24B-Profile1,46.02,19.44403,24,"Monday, April 17, 2023 4:27:50 PM"
1 / 25 . ,48,0.080909,0.0388,0.00001,0.006569,0.00001,0.007863,0.00001,0.00001,0.014482,0.033528,66.0352,19.05525,85.27264,0.126083,0.058086,0.000011,0.008917,0.00001,0.006902,0.000008,0.000003,0.002624,0.005922,49.71646,50.07497,100,0.152877,0.083008,0.000012,0.015052,0.000014,0.013117,0.000013,0.000011,0.016479,0.038036,84.95403,85.27264,114,103,,239,,184,,,458,502,1254,,-16761.2,-22769.2,42, , ,H-24B-Profile1,48.02,18.75613,25,"Monday, April 17, 2023 4:32:38 PM"
1 / 26 . ,50,0.093819,0.040645,0.00001,0.012768,0.00001,0.002776,0.011846,0.008585,0.013567,0.036567,61.58755,17.80393,79.61207,0.156529,0.065147,0.000012,0.018557,0.000011,0.002609,0.009707,0.002814,0.002632,0.006915,49.64337,50.0917,100,0.177271,0.086954,0.000012,0.029258,0.000014,0.00463,0.015296,0.009585,0.015438,0.041483,79.23213,79.61208,111,99,,223,,180,287,580,447,478,1173,,-16759.2,-22769,42, , ,H-24B-Profile1,50.02,17.51111,26,"Monday, April 17, 2023 4:37:28 PM"
1 / 27 . ,52,0.153075,0.032624,0.001858,0.00001,0.004933,0.00001,0.000591,0.02243,0.002234,0.054329,69.88461,20.20776,90.36446,0.224975,0.046062,0.001884,0.000013,0.004881,0.000008,0.000427,0.006477,0.000382,0.009051,49.6223,50.08353,100,0.289235,0.069794,0.002238,0.000023,0.006902,0.000017,0.000763,0.025043,0.002542,0.061633,89.90627,90.36446,120,106,151,,223,,301,579,438,469,1258,,-16757.2,-22768.8,42, , ,H-24B-Profile1,52.02,19.87713,27,"Monday, April 17, 2023 4:42:16 PM"
1 / 28 . ,54,0.168396,0.035503,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.018258,0.063753,69.42838,20.09231,89.80666,0.248968,0.050427,0.00001,0.000013,0.00001,0.000008,0.000007,0.000003,0.003139,0.010684,49.59235,50.09438,100,0.318184,0.075954,0.000012,0.000023,0.000014,0.000017,0.000013,0.000011,0.020776,0.072324,89.31934,89.80666,118,105,,,,,,,442,477,1251,,-16755.3,-22768.6,42, , ,H-24B-Profile1,54.02,19.76073,28,"Monday, April 17, 2023 4:47:04 PM"
1 / 29 . ,56,0.160543,0.039665,0.007764,0.006639,0.004786,0.000619,0.00001,0.029903,0.00803,0.065323,69.98807,20.26516,90.57651,0.235347,0.055861,0.007854,0.008478,0.004724,0.000512,0.000007,0.008613,0.001369,0.010855,49.56885,50.09753,100,0.303344,0.084857,0.009352,0.015213,0.006697,0.001033,0.000013,0.033387,0.009137,0.074105,90.03937,90.57651,116,99,145,200,212,190,,582,457,495,1222,,-16753.3,-22768.4,42, , ,H-24B-Profile1,56.03,19.93217,29,"Monday, April 17, 2023 4:51:51 PM"
